Entry	Gene Name	TCDB
A6NIM6	SLC15A5	2.A.17.3.10;
A6NIX2	WTIP	Unknown
A6NJ46	NKX6-3	Unknown
A6NJ78	METTL15	Unknown
A6NK06	ACOD1	Unknown
A6NK58	LIPT2	Unknown
A6NK89	RASSF10	Unknown
A6NKB5	PCNX2	9.A.80.1.1;
A6NKF2	ARID3C	Unknown
A6NMY6	ANXA2P2	Unknown
A6NMZ7	COL6A6	Unknown
A6NNB3	IFITM5	Unknown
A6NNM8	TTLL13	Unknown
A6NNN8	SLC38A8	2.A.18.6.12;
A6NNY8	USP27X	Unknown
A6NNZ2	TUBB8B	Unknown
A6PVC2	TTLL8	Unknown
A6QL63	ABTB3	Unknown
A7E2V4	ZSWIM8	Unknown
A7E2Y1	MYH7B	Unknown
A7KAX9	ARHGAP32	Unknown
A7MCY6	TBKBP1	Unknown
A7MD48	SRRM4	Unknown
A7XYQ1	SOBP	Unknown
A8CG34	POM121C	1.I.1.1.3;
A8K0Z3	WASHC1	9.A.3.1.2;
A8K2U0	A2ML1	Unknown
A8K4G0	CD300LB	Unknown
A8K7I4	CLCA1	1.A.13.1.6;
A8K830	POU2AF3	Unknown
A8K8P3	SFI1	Unknown
A8K8V0	ZNF785	Unknown
A8MPY1	GABRR3	Unknown
A8MQ03	CYSRT1	Unknown
A8MQ27	NEURL1B	Unknown
A8MT69	CENPX	Unknown
A8MTA8	CIMIP2B	Unknown
A8MTJ3	GNAT3	Unknown
A8MTJ6	FOXI3	Unknown
A8MTQ0	NOTO	Unknown
A8MTZ0	BBIP1	Unknown
A8MU46	SMTNL1	Unknown
A8MUP2	CSKMT	Unknown
A8MV65	VGLL3	Unknown
A8MVW5	HEPACAM2	Unknown
A8MW92	PHF20L1	Unknown
A8MW95	BECN2	Unknown
A8MW99	MEI4	Unknown
A8MXD5	GRXCR1	Unknown
A8MXV4	NUDT19	Unknown
A8MYU2	KCNU1	Unknown
A8MZ59	LEUTX	Unknown
A8TX70	COL6A5	Unknown
A9QM74	KPNA7	Unknown
A9UHW6	MIF4GD	Unknown
A9YTQ3	AHRR	Unknown
B0I1T2	MYO1G	Unknown
B0L3A2	FBXW7-AS1	Unknown
B0YJ81	HACD1	Unknown
B1AK53	ESPN	Unknown
B2RPK0	HMGB1P1	Unknown
B2RTY4	MYO9A	Unknown
B2RUY7	VWC2L	Unknown
B2RUZ4	SMIM1	1.A.124.1.1;
B2RXF5	ZBTB42	Unknown
B2RXH2	KDM4E	Unknown
B3KU38	IQCJ-SCHIP1	Unknown
B6A8C7	TARM1	Unknown
B7U540	KCNJ18	Unknown
B7ZAQ6	GPR89A	Unknown
C0HME6	RPL36	Unknown
C4AMC7	WASH3P	Unknown
C9JE40	PATL2	Unknown
C9JLW8	MCRIP1	Unknown
C9JR72	KBTBD13	Unknown
C9JRZ8	AKR1B15	Unknown
D3W0D1	KLRF2	Unknown
D6RGH6	MCIDAS	Unknown
E0CX11	STMP1	Unknown
F5H094	SLCO1B3-SLCO1B7	Unknown
G2XKQ0	SUMO1P1	Unknown
H0YL14	TMEM250	Unknown
H3BV60	TGFBR3L	Unknown
K7EJ46	SMIM22	Unknown
K9M1U5	IFNL4	Unknown
L0R8F8	MIEF1	Unknown
M0R2J8	DCDC1	Unknown
M5A8F1	ERVH48-1	Unknown
O00115	DNASE2	Unknown
O00116	AGPS	Unknown
O00124	UBXN8	Unknown
O00139	KIF2A	Unknown
O00141	SGK1	Unknown
O00142	TK2	Unknown
O00144	FZD9	Unknown
O00148	DDX39A	3.A.22.1.2;
O00151	PDLIM1	Unknown
O00154	ACOT7	Unknown
O00155	GPR25	Unknown
O00159	MYO1C	1.I.1.1.3;
O00160	MYO1F	Unknown
O00161	SNAP23	1.F.1.1.1;
O00165	HAX1	Unknown
O00167	EYA2	Unknown
O00168	FXYD1	1.A.27.1.8;
O00170	AIP	Unknown
O00175	CCL24	Unknown
O00178	GTPBP1	Unknown
O00180	KCNK1	Unknown
O00182	LGALS9	Unknown
O00186	STXBP3	Unknown
O00187	MASP2	Unknown
O00189	AP4M1	9.B.278.1.5;
O00192	ARVCF	Unknown
O00194	RAB27B	Unknown
O00198	HRK	Unknown
O00203	AP3B1	Unknown
O00204	SULT2B1	Unknown
O00206	TLR4	8.A.43.1.9;
O00212	RHOD	Unknown
O00213	APBB1	Unknown
O00214	LGALS8	Unknown
O00217	NDUFS8	Unknown
O00219	HAS3	Unknown
O00220	TNFRSF10A	Unknown
O00221	NFKBIE	Unknown
O00222	GRM8	Unknown
O00230	CORT	Unknown
O00231	PSMD11	Unknown
O00232	PSMD12	Unknown
O00233	PSMD9	Unknown
O00237	RNF103	Unknown
O00238	BMPR1B	Unknown
O00241	SIRPB1	8.A.23.1.34;
O00244	ATOX1	9.B.462.1.5;
O00253	AGRP	Unknown
O00254	F2RL2	Unknown
O00255	MEN1	Unknown
O00257	CBX4	Unknown
O00258	GET1	3.A.19.1.1;
O00264	PGRMC1	9.B.433.1.5;
O00267	SUPT5H	Unknown
O00268	TAF4	Unknown
O00270	GPR31	Unknown
O00273	DFFA	Unknown
O00287	RFXAP	Unknown
O00291	HIP1	1.N.7.1.1;
O00292	LEFTY2	Unknown
O00294	TULP1	Unknown
O00299	CLIC1	1.A.12.1.2;
O00300	TNFRSF11B	Unknown
O00303	EIF3F	Unknown
O00305	CACNB4	8.A.22.1.4;
O00308	WWP2	Unknown
O00311	CDC7	Unknown
O00321	ETV2	Unknown
O00322	UPK1A	8.A.40.7.1;
O00327	BMAL1	Unknown
O00329	PIK3CD	Unknown
O00330	PDHX	Unknown
O00337	SLC28A1	2.A.41.2.13;2.A.41.2.3;
O00338	SULT1C2	Unknown
O00339	MATN2	Unknown
O00341	SLC1A7	2.A.23.2.5;
O00358	FOXE1	Unknown
O00370	nan	Unknown
O00391	QSOX1	Unknown
O00399	DCTN6	Unknown
O00400	SLC33A1	2.A.1.25.1;
O00401	WASL	Unknown
O00408	PDE2A	Unknown
O00409	FOXN3	Unknown
O00410	IPO5	1.I.1.1.3;
O00411	POLRMT	Unknown
O00418	EEF2K	Unknown
O00421	CCRL2	Unknown
O00422	SAP18	3.A.18.1.1;
O00423	EML1	Unknown
O00425	IGF2BP3	Unknown
O00429	DNM1L	1.N.6.1.2;
O00442	RTCA	Unknown
O00443	PIK3C2A	Unknown
O00444	PLK4	Unknown
O00445	SYT5	Unknown
O00451	GFRA2	Unknown
O00453	LST1	Unknown
O00459	PIK3R2	Unknown
O00461	GOLIM4	Unknown
O00462	MANBA	Unknown
O00463	TRAF5	Unknown
O00468	AGRN	8.A.74.1.3;
O00469	PLOD2	Unknown
O00470	MEIS1	Unknown
O00471	EXOC5	1.F.2.1.2;
O00472	ELL2	Unknown
O00476	SLC17A3	2.A.1.14.28;
O00478	BTN3A3	Unknown
O00481	BTN3A1	Unknown
O00482	NR5A2	9.B.208.1.4;
O00483	COXFA4	Unknown
O00487	PSMD14	Unknown
O00488	ZNF593	Unknown
O00499	BIN1	Unknown
O00501	CLDN5	1.H.1.1.16;
O00505	KPNA3	1.I.1.1.3;
O00506	STK25	Unknown
O00507	USP9Y	Unknown
O00512	BCL9	Unknown
O00519	FAAH	Unknown
O00522	KRIT1	Unknown
O00526	UPK2	8.A.90.1.1;
O00533	CHL1	Unknown
O00541	PES1	Unknown
O00548	DLL1	Unknown
O00555	CACNA1A	1.A.1.11.27;
O00559	EBAG9	Unknown
O00560	SDCBP	8.A.24.2.1;
O00562	PITPNM1	9.A.78.1.1;
O00566	MPHOSPH10	Unknown
O00567	NOP56	Unknown
O00571	DDX3X	1.I.1.1.3;
O00574	CXCR6	Unknown
O00584	RNASET2	Unknown
O00585	CCL21	Unknown
O00587	MFNG	Unknown
O00590	ACKR2	9.A.14.13.35;
O00591	GABRP	Unknown
O00592	PODXL	8.A.187.1.1;
O00602	FCN1	Unknown
O00622	CCN1	Unknown
O00623	PEX12	3.A.20.1.1;
O00624	SLC17A2	2.A.1.14.29;
O00625	PIR	Unknown
O00626	CCL22	Unknown
O00628	PEX7	3.A.20.1.1;
O00629	KPNA4	1.I.1.1.3;
O00631	SLN	1.A.50.2.1;
O00635	TRIM38	Unknown
O00712	NFIB	Unknown
O00716	E2F3	Unknown
O00743	PPP6C	Unknown
O00744	WNT10B	Unknown
O00746	NME4	Unknown
O00748	CES2	Unknown
O00750	PIK3C2B	Unknown
O00754	MAN2B1	Unknown
O00755	WNT7A	Unknown
O00757	FBP2	Unknown
O00762	UBE2C	Unknown
O00763	ACACB	Unknown
O00764	PDXK	Unknown
O00767	SCD	Unknown
O14490	DLGAP1	Unknown
O14492	SH2B2	Unknown
O14493	CLDN4	1.H.1.1.6;
O14494	PLPP1	Unknown
O14495	PLPP3	Unknown
O14497	ARID1A	Unknown
O14503	BHLHE40	Unknown
O14508	SOCS2	Unknown
O14511	NRG2	Unknown
O14512	SOCS7	Unknown
O14513	NCKAP5	Unknown
O14514	ADGRB1	Unknown
O14519	CDK2AP1	Unknown
O14520	AQP7	1.A.8.9.6;
O14521	SDHD	3.D.10.1.7;
O14522	PTPRT	Unknown
O14523	C2CD2L	8.A.78.1.1;
O14524	NEMP1	9.B.368.1.1;
O14525	ASTN1	9.B.87.2.1;
O14526	FCHO1	Unknown
O14529	CUX2	Unknown
O14530	TXNDC9	Unknown
O14531	DPYSL4	Unknown
O14543	SOCS3	Unknown
O14544	SOCS6	Unknown
O14548	COX7A2L	Unknown
O14556	GAPDHS	Unknown
O14558	HSPB6	Unknown
O14559	ARHGAP33	3.A.34.1.1;
O14561	NDUFAB1	Unknown
O14569	CYB561D2	Unknown
O14576	DYNC1I1	Unknown
O14578	CIT	Unknown
O14579	COPE	Unknown
O14593	RFXANK	Unknown
O14594	NCAN	Unknown
O14595	CTDSP2	Unknown
O14607	UTY	Unknown
O14610	GNGT2	8.A.92.1.1;
O14613	CDC42EP2	Unknown
O14617	AP3D1	Unknown
O14618	CCS	Unknown
O14625	CXCL11	Unknown
O14627	CDX4	Unknown
O14628	ZNF195	Unknown
O14633	LCE2B	Unknown
O14638	ENPP3	Unknown
O14639	ABLIM1	Unknown
O14640	DVL1	Unknown
O14641	DVL2	Unknown
O14645	DNALI1	Unknown
O14646	CHD1	Unknown
O14647	CHD2	Unknown
O14649	KCNK3	1.A.1.9.2;
O14653	GOSR2	Unknown
O14654	IRS4	Unknown
O14656	TOR1A	Unknown
O14657	TOR1B	Unknown
O14662	STX16	Unknown
O14669	PRRG2	Unknown
O14672	ADAM10	8.A.77.1.4;
O14678	ABCD4	3.A.1.203.9;
O14681	EI24	2.A.121.3.1;
O14682	ENC1	Unknown
O14684	PTGES	Unknown
O14686	KMT2D	Unknown
O14713	ITGB1BP1	8.A.54.1.8;
O14717	TRDMT1	Unknown
O14727	APAF1	8.A.92.1.11;
O14730	RIOK3	Unknown
O14732	IMPA2	Unknown
O14733	MAP2K7	Unknown
O14734	ACOT8	Unknown
O14735	CDIPT	Unknown
O14737	PDCD5	Unknown
O14744	PRMT5	Unknown
O14745	NHERF1	8.A.24.1.1;
O14746	TERT	Unknown
O14756	HSD17B6	Unknown
O14757	CHEK1	Unknown
O14763	TNFRSF10B	Unknown
O14764	GABRD	Unknown
O14770	MEIS2	Unknown
O14771	ZNF213	Unknown
O14772	FPGT	Unknown
O14773	TPP1	Unknown
O14775	GNB5	Unknown
O14776	TCERG1	Unknown
O14777	NDC80	Unknown
O14782	KIF3C	Unknown
O14786	NRP1	8.A.47.1.5;
O14787	TNPO2	1.I.1.1.3;
O14788	TNFSF11	Unknown
O14791	APOL1	1.C.127.1.1;
O14792	HS3ST1	Unknown
O14793	MSTN	Unknown
O14795	UNC13B	Unknown
O14796	SH2D1B	Unknown
O14798	TNFRSF10C	Unknown
O14802	POLR3A	Unknown
O14804	TAAR5	Unknown
O14807	MRAS	Unknown
O14810	CPLX1	Unknown
O14813	PHOX2A	Unknown
O14815	CAPN9	Unknown
O14817	TSPAN4	Unknown
O14818	PSMA7	Unknown
O14827	RASGRF2	Unknown
O14828	SCAMP3	8.A.103.1.3;
O14829	PPEF1	Unknown
O14830	PPEF2	Unknown
O14832	PHYH	Unknown
O14836	TNFRSF13B	Unknown
O14842	FFAR1	9.A.14.13.30;
O14843	FFAR3	9.A.14.13.48;
O14862	AIM2	Unknown
O14863	SLC30A4	2.A.4.3.7;
O14867	BACH1	Unknown
O14874	BCKDK	Unknown
O14879	IFIT3	Unknown
O14880	MGST3	Unknown
O14893	GEMIN2	Unknown
O14894	TM4SF5	8.A.75.1.5;
O14896	IRF6	Unknown
O14901	KLF11	Unknown
O14904	WNT9A	Unknown
O14905	WNT9B	Unknown
O14907	TAX1BP3	Unknown
O14908	GIPC1	Unknown
O14910	LIN7A	Unknown
O14917	PCDH17	Unknown
O14920	IKBKB	Unknown
O14924	RGS12	Unknown
O14925	TIMM23	Unknown
O14926	FSCN2	Unknown
O14929	HAT1	Unknown
O14931	NCR3	Unknown
O14933	UBE2L6	Unknown
O14936	CASK	Unknown
O14939	PLD2	Unknown
O14944	EREG	Unknown
O14948	TFEC	Unknown
O14949	UQCRQ	Unknown
O14950	MYL12B	Unknown
O14957	UQCR11	Unknown
O14958	CASQ2	8.A.88.1.5;
O14960	LECT2	Unknown
O14964	HGS	Unknown
O14965	AURKA	Unknown
O14966	RAB29	Unknown
O14967	CLGN	Unknown
O14972	VPS26C	Unknown
O14974	PPP1R12A	Unknown
O14975	SLC27A2	4.C.1.1.5;
O14976	GAK	Unknown
O14977	AZIN1	Unknown
O14978	ZNF263	Unknown
O14979	HNRNPDL	Unknown
O14980	XPO1	1.I.1.1.3;
O14981	BTAF1	Unknown
O14983	ATP2A1	Unknown
O14986	PIP5K1B	Unknown
O14994	SYN3	Unknown
O15013	ARHGEF10	Unknown
O15014	ZNF609	Unknown
O15015	ZNF646	Unknown
O15018	PDZD2	Unknown
O15020	SPTBN2	Unknown
O15021	MAST4	Unknown
O15027	SEC16A	Unknown
O15031	PLXNB2	Unknown
O15033	AREL1	Unknown
O15040	TECPR2	Unknown
O15041	SEMA3E	Unknown
O15042	U2SURP	Unknown
O15047	SETD1A	Unknown
O15049	N4BP3	Unknown
O15054	KDM6B	Unknown
O15055	PER2	Unknown
O15056	SYNJ2	Unknown
O15060	ZBTB39	Unknown
O15061	SYNM	Unknown
O15062	ZBTB5	Unknown
O15066	KIF3B	Unknown
O15067	PFAS	Unknown
O15068	MCF2L	Unknown
O15072	ADAMTS3	Unknown
O15075	DCLK1	Unknown
O15078	CEP290	Unknown
O15079	SNPH	Unknown
O15083	ERC2	Unknown
O15084	ANKRD28	Unknown
O15085	ARHGEF11	Unknown
O15091	PRORP	Unknown
O15105	SMAD7	Unknown
O15111	CHUK	Unknown
O15116	LSM1	Unknown
O15117	FYB1	Unknown
O15118	NPC1	2.A.6.6.1;
O15119	TBX3	Unknown
O15120	AGPAT2	Unknown
O15121	DEGS1	Unknown
O15123	ANGPT2	Unknown
O15126	SCAMP1	8.A.103.1.1;
O15127	SCAMP2	8.A.103.1.2;
O15130	NPFF	Unknown
O15131	KPNA5	1.I.1.1.3;
O15143	ARPC1B	Unknown
O15144	ARPC2	Unknown
O15145	ARPC3	Unknown
O15146	MUSK	8.A.23.1.29;
O15151	MDM4	Unknown
O15155	BET1	Unknown
O15156	ZBTB7B	Unknown
O15160	POLR1C	Unknown
O15162	PLSCR1	9.A.36.1.1;
O15164	TRIM24	Unknown
O15165	LDLRAD4	Unknown
O15169	AXIN1	Unknown
O15173	PGRMC2	9.B.433.1.1;
O15178	TBXT	Unknown
O15182	CETN3	Unknown
O15194	CTDSPL	Unknown
O15195	VILL	Unknown
O15197	EPHB6	Unknown
O15198	SMAD9	Unknown
O15204	ADAMDEC1	Unknown
O15205	UBD	Unknown
O15209	ZBTB22	Unknown
O15211	RGL2	Unknown
O15212	PFDN6	Unknown
O15213	WDR46	Unknown
O15217	GSTA4	Unknown
O15218	ACKR5	Unknown
O15226	NKRF	Unknown
O15228	GNPAT	Unknown
O15229	KMO	Unknown
O15230	LAMA5	Unknown
O15231	ZNF185	Unknown
O15232	MATN3	Unknown
O15234	CASC3	3.A.18.1.1;
O15239	NDUFA1	Unknown
O15240	VGF	Unknown
O15243	LEPROT	Unknown
O15244	SLC22A2	2.A.1.19.30;
O15245	SLC22A1	2.A.1.19.29;
O15247	CLIC2	1.A.12.1.5;
O15254	ACOX3	Unknown
O15258	RER1	9.B.82.1.2;
O15259	NPHP1	Unknown
O15260	SURF4	9.B.214.1.2;
O15263	DEFB4A	1.C.85.1.2;
O15264	MAPK13	Unknown
O15265	ATXN7	Unknown
O15266	SHOX	Unknown
O15269	SPTLC1	Unknown
O15270	SPTLC2	Unknown
O15273	TCAP	Unknown
O15287	FANCG	Unknown
O15294	OGT	Unknown
O15296	ALOX15B	Unknown
O15297	PPM1D	Unknown
O15303	GRM6	Unknown
O15304	SIVA1	Unknown
O15305	PMM2	Unknown
O15315	RAD51B	Unknown
O15318	POLR3G	Unknown
O15327	INPP4B	Unknown
O15342	ATP6V0E1	Unknown
O15344	MID1	Unknown
O15347	HMGB3	Unknown
O15350	TP73	Unknown
O15353	FOXN1	Unknown
O15354	GPR37	9.A.14.13.20;
O15355	PPM1G	Unknown
O15357	INPPL1	Unknown
O15360	FANCA	Unknown
O15370	SOX12	Unknown
O15371	EIF3D	Unknown
O15372	EIF3H	Unknown
O15374	SLC16A4	2.A.1.13.7;
O15379	HDAC3	Unknown
O15381	NVL	Unknown
O15382	BCAT2	Unknown
O15389	SIGLEC5	Unknown
O15391	YY2	Unknown
O15392	BIRC5	Unknown
O15393	TMPRSS2	8.A.131.1.6;
O15394	NCAM2	Unknown
O15397	IPO8	1.I.1.1.3;
O15399	GRIN2D	Unknown
O15400	STX7	Unknown
O15405	TOX3	Unknown
O15409	FOXP2	Unknown
O15417	TNRC18	Unknown
O15427	SLC16A3	2.A.1.13.6;
O15431	SLC31A1	1.A.56.1.2;
O15432	SLC31A2	1.A.56.1.9;
O15438	ABCC3	3.A.1.208.9;
O15439	ABCC4	3.A.1.208.7;
O15440	ABCC5	3.A.1.208.15;
O15444	CCL25	Unknown
O15446	POLR1G	Unknown
O15455	TLR3	8.A.43.1.35;
O15457	MSH4	Unknown
O15460	P4HA2	Unknown
O15466	ST8SIA5	Unknown
O15467	CCL16	Unknown
O15479	MAGEB2	Unknown
O15481	MAGEB4	Unknown
O15484	CAPN5	Unknown
O15488	GYG2	Unknown
O15492	RGS16	Unknown
O15496	PLA2G10	Unknown
O15498	YKT6	1.F.1.3.1;
O15499	GSC2	Unknown
O15503	INSIG1	9.B.418.1.2;
O15504	NUP42	1.I.1.1.3;
O15511	ARPC5	Unknown
O15514	POLR2D	Unknown
O15516	CLOCK	Unknown
O15519	CFLAR	Unknown
O15520	FGF10	Unknown
O15522	NKX2-8	Unknown
O15523	DDX3Y	Unknown
O15524	SOCS1	Unknown
O15525	MAFG	Unknown
O15527	OGG1	Unknown
O15528	CYP27B1	Unknown
O15529	GPR42	Unknown
O15530	PDPK1	Unknown
O15533	TAPBP	8.A.196.1.1;9.A.75.1.2;
O15534	PER1	Unknown
O15535	ZSCAN9	Unknown
O15537	RS1	8.A.154.1.1;
O15540	FABP7	Unknown
O15541	RNF113A	Unknown
O15547	P2RX6	Unknown
O15550	KDM6A	Unknown
O15551	CLDN3	1.H.1.1.15;
O15552	FFAR2	9.A.14.13.47;
O15553	MEFV	Unknown
O15554	KCNN4	1.A.1.16.2;
O42043	ERVK-18	Unknown
O43143	DHX15	Unknown
O43147	SGSM2	Unknown
O43148	RNMT	Unknown
O43149	ZZEF1	Unknown
O43150	ASAP2	Unknown
O43151	TET3	Unknown
O43155	FLRT2	Unknown
O43156	TTI1	Unknown
O43157	PLXNB1	Unknown
O43159	RRP8	Unknown
O43164	PJA2	Unknown
O43166	SIPA1L1	Unknown
O43167	ZBTB24	Unknown
O43169	CYB5B	Unknown
O43172	PRPF4	Unknown
O43173	ST8SIA3	Unknown
O43174	CYP26A1	Unknown
O43175	PHGDH	Unknown
O43181	NDUFS4	Unknown
O43182	ARHGAP6	Unknown
O43184	ADAM12	8.A.77.1.5;
O43186	CRX	Unknown
O43187	IRAK2	Unknown
O43189	PHF1	Unknown
O43193	MLNR	Unknown
O43194	GPR39	9.A.14.1.15;
O43196	MSH5	Unknown
O43236	SEPTIN4	Unknown
O43237	DYNC1LI2	Unknown
O43240	KLK10	Unknown
O43242	PSMD3	Unknown
O43248	HOXC11	Unknown
O43251	RBFOX2	Unknown
O43252	PAPSS1	Unknown
O43255	SIAH2	8.A.133.1.2;
O43257	ZNHIT1	Unknown
O43264	ZW10	Unknown
O43272	PRODH	Unknown
O43278	SPINT1	8.B.13.1.5;
O43280	TREH	Unknown
O43281	EFS	Unknown
O43283	MAP3K13	Unknown
O43286	B4GALT5	Unknown
O43290	SART1	Unknown
O43291	SPINT2	8.B.13.2.3;
O43292	GPAA1	Unknown
O43293	DAPK3	Unknown
O43294	TGFB1I1	Unknown
O43295	SRGAP3	Unknown
O43296	ZNF264	Unknown
O43298	ZBTB43	Unknown
O43299	AP5Z1	Unknown
O43300	LRRTM2	Unknown
O43303	CCP110	Unknown
O43306	ADCY6	Unknown
O43307	ARHGEF9	Unknown
O43309	ZSCAN12	Unknown
O43310	CTIF	1.I.1.1.3;
O43312	MTSS1	Unknown
O43313	ATMIN	Unknown
O43314	PPIP5K2	Unknown
O43315	AQP9	1.A.8.9.14;
O43316	PAX4	Unknown
O43318	MAP3K7	Unknown
O43320	FGF16	Unknown
O43323	DHH	Unknown
O43324	EEF1E1	Unknown
O43353	RIPK2	Unknown
O43364	HOXA2	Unknown
O43365	HOXA3	Unknown
O43374	RASA4	Unknown
O43379	WDR62	Unknown
O43390	HNRNPR	Unknown
O43395	PRPF3	Unknown
O43396	TXNL1	Unknown
O43399	TPD52L2	Unknown
O43402	EMC8	3.A.27.1.1;
O43405	COCH	8.A.54.1.3;
O43422	THAP12	Unknown
O43424	GRID2	Unknown
O43426	SYNJ1	Unknown
O43427	FIBP	Unknown
O43432	EIF4G3	Unknown
O43435	TBX1	Unknown
O43439	CBFA2T2	Unknown
O43447	PPIH	Unknown
O43448	KCNAB3	Unknown
O43451	MGAM	Unknown
O43462	MBTPS2	Unknown
O43463	SUV39H1	Unknown
O43464	HTRA2	8.A.217.1.1;
O43474	KLF4	Unknown
O43482	OIP5	Unknown
O43488	AKR7A2	Unknown
O43490	PROM1	9.B.411.1.1;
O43491	EPB41L2	Unknown
O43493	TGOLN2	Unknown
O43497	CACNA1G	1.A.1.11.37;
O43502	RAD51C	Unknown
O43504	LAMTOR5	Unknown
O43505	B4GAT1	Unknown
O43506	ADAM20	Unknown
O43508	TNFSF12	Unknown
O43511	SLC26A4	2.A.53.2.17;
O43513	MED7	Unknown
O43516	WIPF1	Unknown
O43520	ATP8B1	3.A.3.8.11;
O43521	BCL2L11	8.A.69.1.1;
O43524	FOXO3	Unknown
O43525	KCNQ3	1.A.1.15.3;
O43526	KCNQ2	1.A.1.15.2;
O43529	CHST10	Unknown
O43541	SMAD6	Unknown
O43542	XRCC3	Unknown
O43543	XRCC2	Unknown
O43548	TGM5	Unknown
O43556	SGCE	Unknown
O43557	TNFSF14	Unknown
O43559	FRS3	Unknown
O43561	LAT	Unknown
O43566	RGS14	Unknown
O43567	RNF13	Unknown
O43570	CA12	Unknown
O43572	AKAP10	Unknown
O43581	SYT7	Unknown
O43583	DENR	Unknown
